"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 19 23:24:35 MSK 2021","Sat Jun 19 23:24:38 MSK 2021","2497","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Sat Jun 19 23:25:04 MSK 2021","Sat Jun 19 23:25:06 MSK 2021","1797","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"skipped","Sat Jun 19 23:24:45 MSK 2021","Sat Jun 19 23:24:47 MSK 2021","2386","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sat Jun 19 23:25:32 MSK 2021","Sat Jun 19 23:25:38 MSK 2021","5648","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Sat Jun 19 23:24:26 MSK 2021","Sat Jun 19 23:24:33 MSK 2021","6660","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sat Jun 19 23:24:58 MSK 2021","Sat Jun 19 23:25:02 MSK 2021","3211","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sat Jun 19 23:25:08 MSK 2021","Sat Jun 19 23:25:15 MSK 2021","6587","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sat Jun 19 23:24:41 MSK 2021","Sat Jun 19 23:24:42 MSK 2021","1715","module_5","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"skipped","Sat Jun 19 23:24:50 MSK 2021","Sat Jun 19 23:24:56 MSK 2021","6217","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sat Jun 19 23:25:22 MSK 2021","Sat Jun 19 23:25:25 MSK 2021","2828","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
